ID,SW Requirements,c_This_is_a,c_Maturity,c_Review_Comment,c_SIL
SWR_ERM_1,1 Introduction,heading,N/A,,N/A
SWR_ERM_2,"1.0-1 <General notes:
1. All texts in <> brackets are template advises and shall be deleted after document completion.
2. Directly after deriving the requirements or any other information from the Customer Specifications  any other Stakeholder Documents or System Specification the ""Satisfies"" links to sources shall be drawn.
If the sources are not in DOORS  then the ""c_Source"" attribute shall be used as reference storage.> ",comment,N/A,,N/A
SWR_ERM_3,1.1 Purpose,heading,N/A,,N/A
SWR_ERM_4,"1.1.0-1 <What is the purpose of this document?>
This document contains the SW specific requirements for the <name> for the <ProjectName> project. Intended readers of this document are all people involved in development of the SW <name> mainly the requirements engineers  architects  developers and testers.",comment,N/A,,N/A
SWR_ERM_5,1.2 Scope,heading,N/A,,N/A
SWR_ERM_6,1.2.0-1 This document describes the SW <name> as a black box.,comment,N/A,,N/A
SWR_ERM_7,1.3 Glossary,heading,N/A,,N/A
SWR_ERM_8,1.3.0-1 <The reference to the B&S Glossary shall be inserted here. All terms and abbreviations not described in the B&S Glossary but used in this context  shall be listed here.>,comment,N/A,,N/A
SWR_ERM_9,1.4 References,heading,N/A,,N/A
SWR_ERM_10,"1.4.0-1  <What are the documents referenced? What are the sources of information in this document?>
[1] CAP0500035 Requirements Engineering Method
[2] CAP0500036 SY/SW Architecture Method
[3] Datasheet (to avoid duplication of information  eg: counting number of pins)
 ...",comment,N/A,,N/A
SWR_ERM_11,1.5 Disclosure,heading,N/A,,N/A
SWR_ERM_12,1.5.0-1 The reproduction  distribution and utilization of this document as well as the communication of its contents to others without express authorization is prohibited. Offenders will be held liable for the payment of damages. All rights reserved in the event of the grant of a patent  utility model or design.,comment,N/A,,N/A
SWR_ERM_13,2 Functions,heading,N/A,,N/A
SWR_ERM_14,2.0-1 <This chapter shall contain the functional SW requirements grouped by functions. The requirements shall be based on the signals  events  symbols  defined in the architecture. >,comment,N/A,,N/A
SWR_ERM_15,2.1 FSM_Error_Reaction_Manager,heading,N/A,,N/A
SWR_ERM_18,2.1.1 Fault Reaction for Micro Faults Inputs,heading,N/A,,N/A
SWR_ERM_46,2.1.1.0-1 The fault Reaction for Recoverable Micro Faults shall be force a microcontroller reset.,functional_requirement,project_accepted,"
",ASIL A
SWR_ERM_47,2.1.1.0-2 Implementation Hint: For each micro related fault the error reaction manager shall store a fault bit.,comment,N/A,,N/A
SWR_ERM_48,"2.1.1.0-3 Implementation Hint: There will be 3 types of FSM Error Reactions:  REACTION_RECOVERABLE  REACTION_RECOVERABLE_SWP_RESET and REACTION_RECOVERABLE_NO_RESET.  Error reaction fault bits shall be protected and shall be declared in non initialized RAM.  These fault bits must be protected by FFI inverse RAM implementation.
",comment,N/A,,N/A
SWR_ERM_50,"2.1.1.0-4 Implementation Hint: Error Reaction Manager shall keep a Fault bit and history counter for each type of error (i.e ECC RAM  ECC ROM  TASK MONITOR  REGISTER MONITOR  STACK MONITOR  etc.)

Fault bit stored on FSM_Error_Reaction_NonInitRAM_Error.
Fault history counter stored on FSM_Error_Reaction_NonInitRAM_Error_History_Count.",comment,N/A,,N/A
SWR_ERM_92,"2.1.1.0-5 FSM modules shall set any of the following fault bits using the interface provided by FSM_Error_Reaction_Manager:

FSM_Set_Error_Reaction()",architectural_element,project_accepted,,ASIL A
SWR_ERM_97,"2.1.1.0-6 FSM modules shall clear any of the Micro Faults bits of type REACTION_RECOVERABLE_NO_RESET using the interface provided by FSM_Error_Reaction_Manager:

FSM_Clear_Error_Reaction_Recoverable_No_Reset()",architectural_element,project_accepted,,ASIL A
